,Sum log-adjP-values,adjP-values,Category
Rpl36,-244.16128685956326,"[3.204945768620873e-07, 1e-10, 0.4361754512994439, 1e-10, 1e-10, 1e-10, 0.303489968179122, 1e-10, 1e-10, 1.1115873971143805e-09, 4.969297709438119e-09, 1e-10, 0.5661292908820438, 0.5212243037489979, 0.9801606046726121, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.0026588209788712147, 1e-10, 0.009494196734142132, 1e-10, 0.502311508130857, 0.027859587211196992, 0.12348498079334697, 4.033328689420161e-05, 1e-10, 1e-10, 1e-10, 0.6907139334020468, 1e-10, 8.3741288635254e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps7,-243.79333883460208,"[1e-10, 1e-10, 0.4072853565805908, 1e-10, 1e-10, 1e-10, 1.3420948977249316e-05, 1e-10, 1e-10, 1e-10, 0.08617780197229943, 1e-10, 0.4476575161661606, 0.4633222233030779, 0.4737730319354858, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.002734357896815168, 1e-10, 0.3980526822069215, 0.777262144455294, 1e-10, 0.031142510462343342, 0.8608134603877283, 1e-10, 1e-10, 2.7673923841897026e-09, 1e-10, 0.30121511747832425, 1e-10, 0.0018391230137841396, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl35,-243.49025826143438,"[2.603391008356093e-08, 1e-10, 0.8445144371691282, 1e-10, 1e-10, 1e-10, 0.009303803798521797, 1e-10, 1e-10, 1e-10, 0.0003784755725536981, 1.65234745896885e-08, 0.9461692591528538, 0.08245172400181638, 0.8528813417886125, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 6.929499640338538e-08, 1e-10, 0.019608139595356053, 0.0006035210441808915, 8.01803875878282e-06, 0.9641272911194163, 0.6694875339588208, 1e-10, 1e-10, 1.9565137715166318e-07, 1e-10, 0.9904340970594323, 1e-10, 4.6201289502867864e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps16,-243.03172385894925,"[1e-10, 1.1457933046056577e-09, 0.0663628708882525, 1e-10, 1e-10, 1e-10, 0.28741386753335085, 1e-10, 1e-10, 4.591310625446705e-05, 0.6382825387950177, 0.6119390991227932, 0.5025566171132851, 0.7751815256632144, 2.4170175276181005e-07, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 2.6587450166325662e-09, 1e-10, 0.10743483511977613, 0.0010759830943300533, 3.959255218577551e-08, 0.9081720338015143, 0.38332977999435497, 1e-10, 1e-10, 1e-10, 1e-10, 0.5946062699441664, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps2,-243.02874044318176,"[1e-10, 1e-10, 0.5086407112751906, 1e-10, 1e-10, 1e-10, 0.5791476763016802, 6.29006166024484e-05, 1e-10, 1e-10, 0.22451051561299973, 1e-10, 0.2671023137921445, 0.869098413438037, 0.5735056508202309, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.6852206424340895, 0.008088924846156968, 2.98445532265313e-10, 0.045737857971446236, 0.4550200191984772, 0.0008156984643963504, 1e-10, 1e-10, 1e-10, 0.6018121220754016, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl23a,-241.9684712831532,"[1e-10, 1e-10, 0.0714879092059863, 1e-10, 1e-10, 1e-10, 0.002821280184449652, 1e-10, 1e-10, 0.00023816970681554797, 0.8656526912047023, 0.6436004433133475, 0.8593321666746085, 0.7146444742687862, 0.0005678278127977388, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 4.0702134344398186e-05, 0.001823012991454823, 1.3910162534410334e-06, 0.0016609982138091797, 0.9705016984191825, 1e-10, 1e-10, 1e-10, 1e-10, 0.2146653756814888, 1e-10, 3.226034261189319e-05, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps17,-241.7465150612395,"[1e-10, 1e-10, 0.40873103089150925, 2.9530549686047127e-07, 1e-10, 1e-10, 0.5883483588822845, 1e-10, 1e-10, 0.0005237761173004852, 0.08535678330359131, 5.9365663799902696e-08, 0.8361346011213363, 0.7166629101754528, 0.0001351627548544895, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 2.8257741035219107e-07, 1e-10, 0.15777866962831688, 2.5652983889842756e-08, 0.4667230985105156, 0.0003095963843027791, 0.8792544575333917, 1e-10, 1e-10, 1e-10, 1e-10, 0.808128936929069, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps11,-241.5263144220624,"[1e-10, 1e-10, 0.40311003923672883, 1e-10, 1e-10, 1e-10, 0.7893711844338319, 1.0386099979505489e-08, 1e-10, 1e-10, 0.0010334647733553821, 1e-10, 0.5747966255228677, 0.1328181060096682, 0.774441513530709, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00012390603364338237, 1e-10, 0.362849493884515, 3.413684141138776e-05, 0.4744598523938875, 0.5544037910298172, 0.9762133893025828, 7.664638546267287e-10, 1e-10, 1e-10, 1e-10, 0.4879417615143327, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl11,-241.4566417940037,"[7.263547859819204e-09, 1e-10, 0.49036603590872746, 1e-10, 1e-10, 1e-10, 0.07252855444954974, 1e-10, 1e-10, 1e-10, 0.011993135787545024, 5.194723409894707e-09, 0.6972316480869485, 0.7442296382546423, 0.7083450287989068, 1.075248107856155e-08, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.3702528180831793, 0.0008468549355171014, 0.032220693183099024, 0.02482084353408354, 0.456788149445414, 3.079465623450997e-10, 1e-10, 1e-10, 1e-10, 0.6795558527929171, 1e-10, 2.2917807720916693e-07, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl28,-241.18217078824048,"[1e-10, 1e-10, 0.8037726739423657, 1e-10, 1e-10, 1e-10, 0.972640971647243, 1e-10, 1e-10, 1e-10, 0.00010148752436817712, 2.2268785707956013e-06, 0.786959413197805, 0.5267543504696044, 0.003052598237113404, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.42849749321562114, 1e-10, 0.007256445079739955, 1.4016736617598714e-05, 0.00013313833913559516, 3.908576398003503e-05, 0.49658339996505313, 9.404769332590315e-08, 1e-10, 1e-10, 1e-10, 0.7294498815693425, 1e-10, 3.80563778040123e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl9,-241.13281330765895,"[1e-10, 1e-10, 0.06674773283472939, 1e-10, 1e-10, 1e-10, 0.0017151869687440182, 1e-10, 1e-10, 1e-10, 0.8338137542115374, 0.003068036970010592, 0.656839136219147, 0.7340447969718951, 0.00620790653193841, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 2.381686744353718e-06, 1e-10, 0.08868981865656994, 0.10910402237722715, 1e-10, 0.3618497389288616, 0.9334954014596725, 1e-10, 1e-10, 1e-10, 1e-10, 0.6831051855281921, 1e-10, 0.00015799928038133678, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps12,-240.36475401614928,"[1e-10, 1e-10, 0.4564339974824768, 3.648530612097363e-10, 1e-10, 1e-10, 0.9857220510594701, 1.7829768008696061e-07, 1e-10, 0.9812984192894536, 1e-10, 7.881683750827538e-10, 0.26907181956324583, 0.23862504517774774, 0.820494902055656, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 7.338819771233979e-08, 1e-10, 0.0005654124357392866, 5.32556265498763e-05, 1.08094388616694e-07, 0.560622920113585, 0.9882394062847959, 5.775995348250008e-10, 1e-10, 1e-10, 1e-10, 0.9686907201381196, 1e-10, 0.004889499339820059, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rplp1,-240.27919098089603,"[2.3957734638714758e-09, 1e-10, 0.07270219744051896, 0.3285223433949362, 1e-10, 1e-10, 0.6298820210284448, 1e-10, 1e-10, 1e-10, 0.9873274528090442, 0.7559582187056999, 0.9278794348624696, 3.908006501554603e-08, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 3.7578681609601853e-06, 1e-10, 4.532961117122453e-05, 0.26285426464625894, 1e-10, 6.0545519915101176e-05, 0.9937359936081476, 2.6383059701084595e-08, 1e-10, 1e-10, 1e-10, 0.6458608573064736, 1e-10, 1.1741674991557804e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl13,-239.95858439642538,"[7.482384424509864e-08, 0.005626342621246996, 0.3433000770665597, 1e-10, 1e-10, 1e-10, 0.0010721717272704665, 1e-10, 1e-10, 1e-10, 0.9768572937971032, 0.6527729003143422, 0.33008951893858485, 0.9584834302279309, 6.2788236122971014e-09, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.4696121449311425e-08, 1e-10, 0.0018304764600603686, 0.13171031163432376, 1e-10, 0.013200655934796466, 0.058889006204344195, 1e-10, 1e-10, 1e-10, 1e-10, 0.5212204083789537, 1e-10, 0.00039037813506615843, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl17,-239.8218786528482,"[1.0545923411163774e-10, 1e-10, 0.38018379019974263, 1e-10, 1e-10, 1e-10, 0.0015121968714028671, 1e-10, 1e-10, 1.3785553931855208e-07, 5.362488326377394e-05, 1e-10, 0.9018824052668046, 0.9893010585176233, 0.9131439468012341, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.010210003688490857, 1e-10, 1e-10, 0.009780862928981804, 1.7756067417547762e-05, 2.7769515014749124e-05, 0.0494533165324798, 0.7053828729978188, 1e-10, 1e-10, 4.613728121434816e-10, 1e-10, 0.3560104433040756, 1e-10, 0.146276098161757, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
