,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
49502,24m,Col1a2,-6.4657955,-3.465986,1.0076718846311023e-10,1.4448465082460155e-06,Limb-Muscle_T cell
3,1m,Dbp,24.038029,11.17901,1.1137500009025918e-127,3.6755977529787337e-124,Limb-Muscle_endothelial cell
2,1m,Col1a1,24.081545,5.240217,3.9021200484910385e-128,1.6097220730037656e-124,Limb-Muscle_endothelial cell
0,1m,Col1a2,32.541294,4.857179,2.780491515920933e-232,4.5880890504211313e-228,Limb-Muscle_endothelial cell
1,1m,Col3a1,25.68396,4.3566775,1.7660607109119024e-145,1.457088389537865e-141,Limb-Muscle_endothelial cell
206,1m,Gm129,3.668318,3.0728757,0.0002441513095782691,0.009546779050594832,Limb-Muscle_endothelial cell
92,1m,Mfap4,5.049496,2.6889684,4.429771490914214e-07,3.565641920564656e-05,Limb-Muscle_endothelial cell
13,1m,Nr1d1,9.794273,2.4955862,1.19151073978164e-22,5.461421865871345e-20,Limb-Muscle_endothelial cell
49534,30m,Gm4951,8.077183,2.4623141,6.627997334946233e-16,2.2320119188560773e-13,Limb-Muscle_endothelial cell
108,1m,Tnmd,4.8054094,2.3845067,1.5443530008182202e-06,0.00011022319403116351,Limb-Muscle_endothelial cell
105,1m,Meg3,4.860879,2.3270376,1.168658083992922e-06,8.532755329189028e-05,Limb-Muscle_endothelial cell
49532,30m,Gm12250,8.28286,2.266564,1.2025173488677456e-16,4.2218593135461e-14,Limb-Muscle_endothelial cell
120,1m,Chst1,4.568425,2.1654432,4.91402822060662e-06,0.0003167436705790228,Limb-Muscle_endothelial cell
49513,30m,Cd274,11.644368,1.921404,2.4513147448444022e-31,2.24717470025986e-28,Limb-Muscle_endothelial cell
49561,30m,Mnda,6.6339564,1.8971581,3.268067332549081e-11,5.8615629406948256e-09,Limb-Muscle_endothelial cell
49702,30m,Zbp1,3.59127,1.7855977,0.0003290706419470251,0.01378171234205041,Limb-Muscle_endothelial cell
49559,30m,Tgtp2,6.757483,1.7278401,1.4040936917144742e-11,2.608982752877455e-09,Limb-Muscle_endothelial cell
49536,30m,H2-Q8,7.853141,1.6925037,4.057459506100728e-15,1.312787045297414e-12,Limb-Muscle_endothelial cell
49643,30m,AI607873,4.2657957,1.5019664,1.9919115811689052e-05,0.0012356591353709814,Limb-Muscle_endothelial cell
49746,30m,Fgf9,3.2049234,1.4977425,0.001350984389440309,0.044854312696488007,Limb-Muscle_endothelial cell
49605,30m,Ifi204,4.928866,1.4809436,8.270837535265514e-07,7.108181779657096e-05,Limb-Muscle_endothelial cell
33002,24m,Sparc,5.609387,0.82095265,2.0304447783188743e-08,0.00033504369287039743,Limb-Muscle_endothelial cell
50667,30m,Clec9a,3.5740967,5.0489235,0.0003514391979058772,0.0031127741302441653,Limb-Muscle_macrophage
8,1m,Lyve1,21.064583,4.974763,1.6809888458179352e-98,2.3114997454034793e-95,Limb-Muscle_macrophage
3,1m,Folr2,24.080643,4.389739,3.988094687885863e-128,1.3161510088960924e-124,Limb-Muscle_macrophage
88,1m,Cd209f,10.348646,4.367079,4.244438998877448e-25,2.406786526476865e-23,Limb-Muscle_macrophage
51095,30m,Xcr1,2.7801423,4.3573375,0.005433509751409419,0.03525691876052175,Limb-Muscle_macrophage
48,1m,Fcna,13.917265,4.3132544,4.975833160572979e-44,7.017625895949976e-42,Limb-Muscle_macrophage
174,1m,Cd209g,7.7994013,4.1672773,6.220161995465371e-15,1.9662623196776645e-13,Limb-Muscle_macrophage
0,1m,Cbr2,24.403854,4.1192656,1.5563864245700432e-131,1.284096619591514e-127,Limb-Muscle_macrophage
50874,30m,Cd7,3.144951,3.99174,0.0016611458290789007,0.012516240787959335,Limb-Muscle_macrophage
49868,30m,Klrd1,7.41704,3.9803147,1.1976705685473822e-13,3.3956635827492018e-12,Limb-Muscle_macrophage
50864,30m,Htr7,3.1569397,3.9586952,0.0015943434845939065,0.012098002939255883,Limb-Muscle_macrophage
471,1m,Cd209b,4.424621,3.8465035,9.661175126429396e-06,0.00012483872416696278,Limb-Muscle_macrophage
50546,30m,Btla,3.831497,3.8185048,0.00012736589312294284,0.0012487609045880451,Limb-Muscle_macrophage
880,1m,Vsig4,2.7956176,3.8128152,0.005180065350920326,0.03676398208840271,Limb-Muscle_macrophage
50459,30m,Rab27a,4.1152616,3.7966297,3.867408145629532e-05,0.0004127820298255686,Limb-Muscle_macrophage
49683,30m,P2ry10,10.084349,3.735695,6.479336033649981e-24,3.5520107605069214e-22,Limb-Muscle_macrophage
50682,30m,Cdca8,3.5411146,3.6725976,0.0003984404737954258,0.0034823444163656365,Limb-Muscle_macrophage
49757,30m,H2-Oa,8.774508,3.662517,1.7165183028883307e-18,6.841610752647425e-17,Limb-Muscle_macrophage
126,1m,Colec12,9.107207,3.5543838,8.452951396694946e-20,3.558218137675084e-18,Limb-Muscle_macrophage
676,1m,Enpep,3.467695,3.5229251,0.0005249429166241715,0.004841857499840946,Limb-Muscle_macrophage
33056,24m,Ear2,3.999677,1.5314772,6.342901769617872e-05,0.01203037035637523,Limb-Muscle_macrophage
