,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
19865,18m,Rps15,19.284468,19.828465,7.253242223171361e-83,2.0578484364597605e-79,Limb-Muscle_endothelial cell
19868,18m,Rps20,18.187796,19.627192,6.448109607283968e-74,1.1641768800059963e-70,Limb-Muscle_endothelial cell
59737,30m,Klf2,5.9333735,17.604527,2.9677294438528258e-09,2.1201117537739972e-07,Limb-Muscle_endothelial cell
59586,30m,Iigp1,15.573662,17.585268,1.0992911280620883e-54,2.4257690892570082e-51,Limb-Muscle_endothelial cell
59636,30m,Hspa8,8.973845,17.449001,2.863422834660808e-19,6.769949701948054e-17,Limb-Muscle_endothelial cell
59582,30m,H2-K1,18.916885,17.154842,8.280671647631494e-80,4.111353473049037e-76,Limb-Muscle_endothelial cell
59640,30m,Cxcl10,8.658965,15.299582,4.760683404985979e-18,9.952333939265425e-16,Limb-Muscle_endothelial cell
39722,24m,H2-K1,16.764597,14.54307,4.430144212380414e-63,2.1995666014468754e-59,Limb-Muscle_endothelial cell
227,1m,Mt2,4.567038,13.914975,4.946638078208694e-06,0.000241376491973525,Limb-Muscle_endothelial cell
59593,30m,Isg15,13.351858,13.774592,1.1553116873807044e-40,1.3496758889047522e-37,Limb-Muscle_endothelial cell
39767,24m,Ubc,5.817492,13.277915,5.973712981175265e-09,1.3800846190319608e-06,Limb-Muscle_endothelial cell
12,1m,Tmsb10,12.9124975,12.71831,3.8268312218025874e-38,3.040034722599975e-35,Limb-Muscle_endothelial cell
127,1m,Igfbp7,5.891914,11.7259655,3.817478400467194e-09,3.158963376386603e-07,Limb-Muscle_endothelial cell
25,1m,Ptma,9.9847555,11.085505,1.777389957662806e-23,6.0860283722729875e-21,Limb-Muscle_endothelial cell
39813,24m,Hspa1a,4.6228404,9.549986,3.785212494388176e-06,0.00046119214808925876,Limb-Muscle_endothelial cell
39876,24m,Tm4sf1,3.7957923,9.291519,0.0001471726369516955,0.010745766800958356,Limb-Muscle_endothelial cell
67,1m,Ifitm2,7.4512067,9.146049,9.249028657840915e-14,1.4021809858375617e-11,Limb-Muscle_endothelial cell
39727,24m,Beta-s,9.43414,8.177175,3.942130092641427e-21,4.349483535547708e-18,Limb-Muscle_endothelial cell
39873,24m,Nfkbia,3.8247313,7.749839,0.00013091473780458242,0.00977004002828667,Limb-Muscle_endothelial cell
39779,24m,Vim,5.372787,7.0503783,7.752893946029869e-08,1.4818956628939995e-05,Limb-Muscle_endothelial cell
39756,24m,Rnd1,6.063048,6.922362,1.3356588148073818e-09,3.584619467847919e-07,Limb-Muscle_endothelial cell
39721,24m,Cd74,13.298902,191.65598,2.348950824515666e-40,1.555005445829371e-36,Limb-Muscle_macrophage
39720,24m,Malat1,13.624584,143.27348,2.8603300789606147e-42,2.8403077684078905e-38,Limb-Muscle_macrophage
6,1m,Malat1,11.703127,136.21121,1.2284256339273819e-31,3.0495666362247255e-28,Limb-Muscle_macrophage
59598,30m,Malat1,5.8109593,122.76753,6.211591953337131e-09,1.762317374189649e-06,Limb-Muscle_macrophage
19866,18m,Fth1,14.742954,119.063736,3.415124849684417e-49,6.782437951473252e-46,Limb-Muscle_macrophage
18,1m,Apoe,9.838205,101.328064,7.70733003515912e-23,4.937663693492262e-20,Limb-Muscle_macrophage
19887,18m,Ftl1,11.602891,82.62661,3.983893235208253e-31,2.1977811014232196e-28,Limb-Muscle_macrophage
19916,18m,Apoe,9.329425,68.741486,1.0644737913514139e-20,2.4581918018882647e-18,Limb-Muscle_macrophage
19860,18m,Tpt1,28.806517,67.775246,1.7775102629333792e-182,3.530135382185691e-178,Limb-Muscle_macrophage
39722,24m,Retnla,12.821517,67.575,1.2424535861860796e-37,6.1687820554138854e-34,Limb-Muscle_macrophage
109,1m,Ftl1,6.060664,64.41068,1.3556073993752338e-09,1.1407780911691586e-07,Limb-Muscle_macrophage
39725,24m,H2-Ab1,12.377082,62.878853,3.47759330544731e-35,8.633125380772947e-32,Limb-Muscle_macrophage
39724,24m,H2-Aa,12.54758,60.490055,4.098462504655622e-36,1.1627923620351522e-32,Limb-Muscle_macrophage
59678,30m,H2-Ab1,3.9034703,52.78459,9.482323975248314e-05,0.007356209146423106,Limb-Muscle_macrophage
42,1m,Mt1,8.256361,52.1244,1.5018114493673375e-16,3.106872435878679e-14,Limb-Muscle_macrophage
39814,24m,Tmsb4x,5.0103407,46.50118,5.4333768423178e-07,4.611404448223569e-05,Limb-Muscle_macrophage
39727,24m,H2-Eb1,11.314386,40.68742,1.1137913214321857e-29,1.474659709576214e-26,Limb-Muscle_macrophage
19862,18m,Rplp1,20.40047,37.84504,1.6561249244028678e-92,8.222660249660238e-89,Limb-Muscle_macrophage
352,1m,Cxcl2,3.5983915,35.829952,0.00032019146498806796,0.00922932147266042,Limb-Muscle_macrophage
17,1m,Sepp1,9.988306,32.92633,1.7148726820468604e-23,1.216334695194666e-20,Limb-Muscle_macrophage
59724,30m,H2-Eb1,3.427971,31.23442,0.0006081109179003034,0.0338293636680673,Limb-Muscle_macrophage
19861,18m,Rps12,23.224907,27.93016,2.5513022600028194e-119,1.6889620961218664e-115,Limb-Muscle_macrophage
259,1m,Actb,4.286566,27.167858,1.814563590191522e-05,0.0006956994768572129,Limb-Muscle_macrophage
19868,18m,Ifi27l2a,14.44883,26.161987,2.5498066850975627e-47,4.2199300638364663e-44,Limb-Muscle_macrophage
20,1m,Pf4,9.555614,25.965746,1.2285284592831836e-21,6.594209513882169e-19,Limb-Muscle_macrophage
331,1m,Ccl4,3.7624273,25.875196,0.00016827217417724556,0.005246287879372208,Limb-Muscle_macrophage
375,1m,Hspa1a,3.515195,25.578892,0.00043943147123273713,0.012120984748169665,Limb-Muscle_macrophage
39816,24m,Crip1,4.985999,23.968803,6.164249981557028e-07,5.1654854275832315e-05,Limb-Muscle_macrophage
20371,18m,Gsn,3.6176643,23.608747,0.00029727369861209853,0.006618672258336633,Limb-Muscle_macrophage
