,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
1110038D17Rik,-0.064950702,0.02294891,Limb-Muscle_skeletal muscle satellite cell,0.064950702
Nploc4,-0.064941408,0.022968512,Limb-Muscle_skeletal muscle satellite cell,0.064941408
Ift46,-0.064934861,0.022982329,Limb-Muscle_skeletal muscle satellite cell,0.064934861
S100a3,-0.064934329,0.022983452,Limb-Muscle_skeletal muscle satellite cell,0.064934329
Adck2,-0.064934042,0.022984057,Limb-Muscle_skeletal muscle satellite cell,0.064934042
2610019E17Rik,-0.064929168,0.022994349,Limb-Muscle_skeletal muscle satellite cell,0.064929168
Slc4a1ap,-0.064922563,0.023008304,Limb-Muscle_skeletal muscle satellite cell,0.064922563
Rpp21,-0.064908278,0.023038507,Limb-Muscle_skeletal muscle satellite cell,0.064908278
Ylpm1,-0.064906906,0.02304141,Limb-Muscle_skeletal muscle satellite cell,0.064906906
Efha2,-0.064889756,0.02307772,Limb-Muscle_skeletal muscle satellite cell,0.064889756
Naa10,-0.064884648,0.023088545,Limb-Muscle_skeletal muscle satellite cell,0.064884648
2310003L22Rik,-0.064876395,0.023106042,Limb-Muscle_skeletal muscle satellite cell,0.064876395
Slc50a1,-0.064873807,0.023111532,Limb-Muscle_skeletal muscle satellite cell,0.064873807
Prickle1,-0.064859822,0.023141215,Limb-Muscle_skeletal muscle satellite cell,0.064859822
Gtf2e2,-0.064818926,0.023228209,Limb-Muscle_skeletal muscle satellite cell,0.064818926
Gpaa1,-0.064813745,0.023239251,Limb-Muscle_skeletal muscle satellite cell,0.064813745
Nudt6,-0.064812941,0.023240963,Limb-Muscle_skeletal muscle satellite cell,0.064812941
Tpr,-0.064799238,0.02327019,Limb-Muscle_skeletal muscle satellite cell,0.064799238
Pex3,-0.064784214,0.023302271,Limb-Muscle_skeletal muscle satellite cell,0.064784214
Ctnnal1,-0.064776769,0.023318182,Limb-Muscle_skeletal muscle satellite cell,0.064776769
Timp1,-0.064746872,0.02338217,Limb-Muscle_skeletal muscle satellite cell,0.064746872
Adora1,-0.064727255,0.023424241,Limb-Muscle_skeletal muscle satellite cell,0.064727255
Hey2,-0.064727255,0.023424241,Limb-Muscle_skeletal muscle satellite cell,0.064727255
Star,-0.064727255,0.023424241,Limb-Muscle_skeletal muscle satellite cell,0.064727255
Dcx,-0.064727255,0.023424241,Limb-Muscle_skeletal muscle satellite cell,0.064727255
Nusap1,-0.064726961,0.023424871,Limb-Muscle_skeletal muscle satellite cell,0.064726961
Grk6,-0.064712938,0.023454985,Limb-Muscle_skeletal muscle satellite cell,0.064712938
Cdc23,-0.064711704,0.023457636,Limb-Muscle_skeletal muscle satellite cell,0.064711704
Arhgap21,-0.064683108,0.023519156,Limb-Muscle_skeletal muscle satellite cell,0.064683108
Mapt,-0.06467782,0.023530549,Limb-Muscle_skeletal muscle satellite cell,0.06467782
Ints2,-0.064672885,0.023541183,Limb-Muscle_skeletal muscle satellite cell,0.064672885
Eps15l1,-0.064667429,0.023552947,Limb-Muscle_skeletal muscle satellite cell,0.064667429
Zscan12,-0.064657695,0.023573945,Limb-Muscle_skeletal muscle satellite cell,0.064657695
Clec11a,-0.06465161,0.023587081,Limb-Muscle_skeletal muscle satellite cell,0.06465161
Ptrh1,-0.064648494,0.023593809,Limb-Muscle_skeletal muscle satellite cell,0.064648494
Baalc,-0.064646799,0.02359747,Limb-Muscle_skeletal muscle satellite cell,0.064646799
Mark2,-0.064639597,0.023613032,Limb-Muscle_skeletal muscle satellite cell,0.064639597
Hdac10,-0.064635615,0.023621638,Limb-Muscle_skeletal muscle satellite cell,0.064635615
Sec24a,-0.06462301,0.023648901,Limb-Muscle_skeletal muscle satellite cell,0.06462301
Psmd9,-0.064610755,0.023675437,Limb-Muscle_skeletal muscle satellite cell,0.064610755
Acer3,0.064607951,0.023681511,Limb-Muscle_skeletal muscle satellite cell,0.064607951
D8Ertd82e,-0.06459529,0.023708955,Limb-Muscle_skeletal muscle satellite cell,0.06459529
Wdr67,-0.064590786,0.023718725,Limb-Muscle_skeletal muscle satellite cell,0.064590786
Gtf3c4,-0.064557647,0.023790718,Limb-Muscle_skeletal muscle satellite cell,0.064557647
0610040B10Rik,-0.064553408,0.023799941,Limb-Muscle_skeletal muscle satellite cell,0.064553408
Itm2c,0.064548639,0.023810321,Limb-Muscle_skeletal muscle satellite cell,0.064548639
Tmem203,-0.064524683,0.023862518,Limb-Muscle_skeletal muscle satellite cell,0.064524683
Iyd,0.064522783,0.023866662,Limb-Muscle_skeletal muscle satellite cell,0.064522783
Vps18,-0.064486172,0.023946639,Limb-Muscle_skeletal muscle satellite cell,0.064486172
Limk1,-0.064462978,0.023997425,Limb-Muscle_skeletal muscle satellite cell,0.064462978
Parp12,0.064442149,0.024043113,Limb-Muscle_skeletal muscle satellite cell,0.064442149
Arcn1,-0.064440115,0.024047578,Limb-Muscle_skeletal muscle satellite cell,0.064440115
Tmem229b,-0.064426118,0.024078328,Limb-Muscle_skeletal muscle satellite cell,0.064426118
Phf3,-0.06440999,0.024113801,Limb-Muscle_skeletal muscle satellite cell,0.06440999
1700030K09Rik,-0.064305917,0.024343794,Limb-Muscle_skeletal muscle satellite cell,0.064305917
Tial1,-0.064287391,0.024384935,Limb-Muscle_skeletal muscle satellite cell,0.064287391
