,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Zfp677,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kremen2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4930528F23Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mslnl,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tulp1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pdxk-ps,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
H2-DMb2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ly6g6f,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
H2-Bl,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ubd,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Arsi,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ska1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cd226,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm962,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zbtb3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm7102,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Noxa1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hoxd10,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cldn11,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sv2a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2410057H14Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Depdc1a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kif24,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam159a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hpcal4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cnksr1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc30a2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2610002D18Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rhd,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Plb1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sh3tc1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam184b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pole,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Adam1a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tfr2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm20605,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fscn3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Alox5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pik3c2g,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm5887,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dll3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam174b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Plin1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Wdr93,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Scube2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Utf1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cend1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Syt8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2310008N11Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Nrg1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Lrrc25,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ankle1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Podnl1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ccdc113,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Trhr2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Capn9,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mmp8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp558,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Anln,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm6981,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ttk,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Foxp3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc7a3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ace2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700034P13Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kcnb2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Col9a1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700001G17Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4933424G06Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2010300C02Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Il1rl2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Il18r1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mpp4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Snora41,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sgpp2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc19a3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sag,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gal3st2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpinb3a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpinb2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Marco,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tmem163,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Lct,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc45a3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Syt2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ptprv,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
5730559C18Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
9230116N13Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700012A16Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm5531,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700057K13Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tnn,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpinc1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
F5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tstd1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cd84,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ccdc19,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Vsig8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Crp,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Apcs,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pydc4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Susd4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hhipl2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Lamb3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm16897,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
BC020402,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Samd5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Txlnb,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
D10Bwg1379e,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam54a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
C920009B18Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Vnn1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Moxd1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tmem200a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rspo3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
G630090E17Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pkib,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Oit3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tbata,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dna2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pcdh15,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gnaz,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
AI646023,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gstt4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Prss57,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Creb3l3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mfsd12,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Bpifc,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm4925,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm17745,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ccdc38,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Plxnc1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Trhde,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tspan8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kcnmb4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ifng,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Grip1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tbc1d30,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
LOC100504608,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tac2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tespa1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Nefh,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700093K21Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Bcl11a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700034F02Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Efcab9,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Nipal4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Olfr1372-ps1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Il13,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Obscn,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
F930015N05Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Myh8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dnahc2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
BC096441,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ybx2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cldn7,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Itgae,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dbil5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc6a4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rab11fip4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slfn10-ps,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slfn1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Epn3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Snora21,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rapgefl1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Krt222,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Krt19,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gast,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ccr10,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
G6pc,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ccdc103,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm11648,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Scn4a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Apoh,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
AF251705,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4933422H20Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Galr2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm11747,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
A430071A18Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Npb,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Notum,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cd7,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sectm1a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4930417G10Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Colec11,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700108M19Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dgkb,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pax9,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
5830428M24Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4930512B01Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gpr135,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Lrrc9,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kcnh5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm4787,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Map3k9,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tmem90a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2610021K21Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpina1e,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpina3k,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Bcl11b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2810029C07Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Aspg,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dnahc11,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
2810429I04Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Calml3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Calm4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Idi2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Edaradd,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mir466i,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hist1h2ak,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hist1h1b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hist1h2bp,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
D130043K22Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Serpinb6c,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm1574,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Susd3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fgd3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Nxnl2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Msx2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Arl10,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pitx1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc25a48,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
A230056J06Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp708,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp459,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp85-rs1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp493,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Irx1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm4814,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Bhmt,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gapt,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Hspb3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fgf10,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
BC147527,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Dnase1l3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Wnt5a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Chdh,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Itih3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sh2d4b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
G630016D24Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
A430107P09Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Ltb4r2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gjb2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
F630043A04Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm4902,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Phyhip,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fgf17,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Lect1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pcdh8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slain1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slitrk1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
5430437J10Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4930556M19Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mal2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Sntb1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
9930014A18Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
9030619P08Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mgat3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam83f,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fam109b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cyp2d10,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cyp2d26,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Parvg,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Odf3b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Wnt10b,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mettl7a2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Scn8a,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Krt8,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Mefv,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Slc7a4,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cyp2ab1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Fetub,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
4632428C04Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Adcy5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Igsf11,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cd200r1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gcet2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cd96,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm10785,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Kcnj15,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
B3galt5,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Wdr27,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm3435,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp54,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Zfp820,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
9930021D14Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rab26,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Tpsb2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rhbdl1,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Gm10012,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
1700097N02Rik,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Cryaa,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Rasal3,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
Pglyrp2,-0.030238859,0.290076474,Limb-Muscle_skeletal muscle satellite cell,0.030238859
