,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
1700012B15Rik,0.105582331,1.47E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105582331
Cript,0.105539626,1.48E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105539626
Entpd4,-0.105474792,1.51E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105474792
Pnpla6,-0.105470984,1.51E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105470984
Acaa2,0.105456619,1.51E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105456619
Anxa11,-0.105435353,1.52E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105435353
Tmem93,-0.10538134,1.54E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10538134
Bcl7a,0.105309435,1.56E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105309435
Slc39a7,-0.105217033,1.60E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105217033
Pgm2,-0.105213618,1.60E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105213618
Ublcp1,0.105174325,1.61E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105174325
Ccng1,0.105167242,1.62E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105167242
Slc25a21,-0.105160019,1.62E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105160019
Vgll4,0.105137984,1.63E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105137984
4930405J17Rik,0.105126351,1.63E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105126351
Rab24,0.105110959,1.64E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105110959
Sema4a,0.105086376,1.65E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105086376
Ip6k2,0.105084721,1.65E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105084721
Lbh,0.105069053,1.65E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105069053
B230219D22Rik,0.105046717,1.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105046717
2410006H16Rik,-0.10504533,1.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10504533
2310044H10Rik,-0.105015058,1.67E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.105015058
Slc28a1,-0.104932719,1.70E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104932719
Sh3bp2,-0.104808377,1.75E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104808377
Ndufaf3,-0.104800739,1.76E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104800739
Gng12,-0.104727465,1.79E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104727465
Mia2,0.104639475,1.82E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104639475
Mbip,0.104614123,1.83E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104614123
Sun2,-0.104537676,1.87E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104537676
Anxa6,0.104528587,1.87E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104528587
Suclg1,-0.104526807,1.87E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104526807
Atp6ap1,-0.104509506,1.88E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104509506
2310036O22Rik,0.104493729,1.88E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104493729
Mast4,0.104451705,1.90E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104451705
Gapdh,-0.104424785,1.91E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104424785
Sumo3,0.104419269,1.92E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104419269
Pklr,-0.104300345,1.97E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104300345
Zfp462,0.104239351,2.00E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104239351
Nedd4l,-0.104221131,2.00E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104221131
Eef1g,0.104215445,2.01E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104215445
Gdf15,0.104149479,2.04E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104149479
Cela2a,0.104094905,2.06E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104094905
Hmgn1,0.104071605,2.07E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104071605
Cdc37l1,0.104035119,2.09E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104035119
Fbf1,-0.104013434,2.10E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.104013434
Opa1,-0.103965011,2.12E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103965011
Ndufa6,-0.10395522,2.13E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10395522
Me1,-0.103912324,2.15E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103912324
Krt10,0.103845341,2.18E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103845341
Gm10787,-0.103823741,2.19E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103823741
Bcas3,0.103800565,2.20E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103800565
Ddit3,0.103762836,2.22E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103762836
Rasl12,-0.103705299,2.25E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103705299
C1qa,0.1037046,2.25E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.1037046
Mettl7b,-0.103695549,2.26E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103695549
Aspdh,-0.103629231,2.29E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103629231
Cs,-0.103603401,2.30E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103603401
Srp54b,0.103553571,2.33E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103553571
Tbc1d1,0.103449164,2.39E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103449164
Gmfb,0.103398125,2.41E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103398125
Zfp346,0.103351047,2.44E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103351047
Man2a2,-0.103263899,2.49E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103263899
Rpl39,0.103251971,2.49E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103251971
Lmf1,-0.103198743,2.52E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103198743
Luzp1,0.103140369,2.56E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103140369
Stxbp2,-0.10312112,2.57E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10312112
