,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Ikbkb,-0.039954137,0.069083912,Kidney_kidney proximal convoluted tubule epithelial cell,0.039954137
Oxsm,-0.039947654,0.069129055,Kidney_kidney proximal convoluted tubule epithelial cell,0.039947654
Fam115a,-0.039947406,0.069130782,Kidney_kidney proximal convoluted tubule epithelial cell,0.039947406
Bud31,-0.039945917,0.069141152,Kidney_kidney proximal convoluted tubule epithelial cell,0.039945917
Bscl2,0.039938075,0.069195803,Kidney_kidney proximal convoluted tubule epithelial cell,0.039938075
Il6ra,-0.03993449,0.069220792,Kidney_kidney proximal convoluted tubule epithelial cell,0.03993449
Hunk,-0.039924549,0.069290138,Kidney_kidney proximal convoluted tubule epithelial cell,0.039924549
Zmynd11,0.039919788,0.069323367,Kidney_kidney proximal convoluted tubule epithelial cell,0.039919788
Aftph,0.039902688,0.069442829,Kidney_kidney proximal convoluted tubule epithelial cell,0.039902688
Zbtb34,-0.039898757,0.069470315,Kidney_kidney proximal convoluted tubule epithelial cell,0.039898757
Dip2c,0.039878926,0.069609111,Kidney_kidney proximal convoluted tubule epithelial cell,0.039878926
Fam40a,-0.039876902,0.069623289,Kidney_kidney proximal convoluted tubule epithelial cell,0.039876902
Vrk1,0.039871048,0.069664311,Kidney_kidney proximal convoluted tubule epithelial cell,0.039871048
Mbnl2,0.039863007,0.06972069,Kidney_kidney proximal convoluted tubule epithelial cell,0.039863007
Ostc,-0.039861227,0.069733181,Kidney_kidney proximal convoluted tubule epithelial cell,0.039861227
Pole,-0.039857381,0.069760163,Kidney_kidney proximal convoluted tubule epithelial cell,0.039857381
Pfkp,0.039844818,0.069848367,Kidney_kidney proximal convoluted tubule epithelial cell,0.039844818
Vmac,-0.039834709,0.069919407,Kidney_kidney proximal convoluted tubule epithelial cell,0.039834709
Brms1,-0.039832939,0.069931853,Kidney_kidney proximal convoluted tubule epithelial cell,0.039832939
Hsd17b10,-0.039813784,0.070066641,Kidney_kidney proximal convoluted tubule epithelial cell,0.039813784
Gnl2,0.039798755,0.070172552,Kidney_kidney proximal convoluted tubule epithelial cell,0.039798755
Mon1a,-0.039793297,0.070211046,Kidney_kidney proximal convoluted tubule epithelial cell,0.039793297
Gnb4,-0.039789629,0.070236926,Kidney_kidney proximal convoluted tubule epithelial cell,0.039789629
1110020A21Rik,-0.039779445,0.070308816,Kidney_kidney proximal convoluted tubule epithelial cell,0.039779445
Fgfbp3,0.039764186,0.070416647,Kidney_kidney proximal convoluted tubule epithelial cell,0.039764186
Cxadr,-0.039755732,0.07047645,Kidney_kidney proximal convoluted tubule epithelial cell,0.039755732
Pfkm,-0.039753924,0.070489243,Kidney_kidney proximal convoluted tubule epithelial cell,0.039753924
Grtp1,-0.039734469,0.070627044,Kidney_kidney proximal convoluted tubule epithelial cell,0.039734469
Myl6b,0.039728963,0.070666083,Kidney_kidney proximal convoluted tubule epithelial cell,0.039728963
Zfp524,-0.039712964,0.070779624,Kidney_kidney proximal convoluted tubule epithelial cell,0.039712964
Trmt1,-0.039689055,0.070949568,Kidney_kidney proximal convoluted tubule epithelial cell,0.039689055
A430005L14Rik,-0.039671251,0.071076338,Kidney_kidney proximal convoluted tubule epithelial cell,0.039671251
Mrpl39,-0.039655041,0.071191923,Kidney_kidney proximal convoluted tubule epithelial cell,0.039655041
1110051M20Rik,-0.039649154,0.071233939,Kidney_kidney proximal convoluted tubule epithelial cell,0.039649154
Mrpl47,-0.039642936,0.071278331,Kidney_kidney proximal convoluted tubule epithelial cell,0.039642936
Rgl3,0.039642659,0.071280312,Kidney_kidney proximal convoluted tubule epithelial cell,0.039642659
Rassf5,0.039631914,0.071357092,Kidney_kidney proximal convoluted tubule epithelial cell,0.039631914
Ppp1r37,-0.03963063,0.071366266,Kidney_kidney proximal convoluted tubule epithelial cell,0.03963063
Swap70,0.039625967,0.071399613,Kidney_kidney proximal convoluted tubule epithelial cell,0.039625967
Ndufv3,-0.039623147,0.071419781,Kidney_kidney proximal convoluted tubule epithelial cell,0.039623147
Lman2l,-0.039622837,0.071422001,Kidney_kidney proximal convoluted tubule epithelial cell,0.039622837
N4bp3,-0.039621881,0.071428844,Kidney_kidney proximal convoluted tubule epithelial cell,0.039621881
Igf2r,-0.03962103,0.071434933,Kidney_kidney proximal convoluted tubule epithelial cell,0.03962103
Gpr124,0.039618662,0.071451871,Kidney_kidney proximal convoluted tubule epithelial cell,0.039618662
Btc,0.03961662,0.071466488,Kidney_kidney proximal convoluted tubule epithelial cell,0.03961662
Gm10658,-0.039599982,0.071585656,Kidney_kidney proximal convoluted tubule epithelial cell,0.039599982
Tssk4,0.03959563,0.071616856,Kidney_kidney proximal convoluted tubule epithelial cell,0.03959563
Gpr39,0.03959563,0.071616856,Kidney_kidney proximal convoluted tubule epithelial cell,0.03959563
Zfp768,-0.039589731,0.071659159,Kidney_kidney proximal convoluted tubule epithelial cell,0.039589731
BC016423,0.03958873,0.071666342,Kidney_kidney proximal convoluted tubule epithelial cell,0.03958873
Gm16576,-0.039587545,0.071674843,Kidney_kidney proximal convoluted tubule epithelial cell,0.039587545
Ercc6l,-0.039587545,0.071674843,Kidney_kidney proximal convoluted tubule epithelial cell,0.039587545
Ankrd49,0.039569175,0.071806743,Kidney_kidney proximal convoluted tubule epithelial cell,0.039569175
Casc5,-0.039565747,0.071831379,Kidney_kidney proximal convoluted tubule epithelial cell,0.039565747
Ivd,-0.039562431,0.071855213,Kidney_kidney proximal convoluted tubule epithelial cell,0.039562431
Mdm2,0.039551094,0.071936754,Kidney_kidney proximal convoluted tubule epithelial cell,0.039551094
Smpdl3a,-0.039549243,0.071950081,Kidney_kidney proximal convoluted tubule epithelial cell,0.039549243
Birc6,-0.039543553,0.071991038,Kidney_kidney proximal convoluted tubule epithelial cell,0.039543553
4922501C03Rik,0.039532365,0.072071635,Kidney_kidney proximal convoluted tubule epithelial cell,0.039532365
2310044G17Rik,-0.039526305,0.072115321,Kidney_kidney proximal convoluted tubule epithelial cell,0.039526305
Sdsl,-0.039521392,0.072150757,Kidney_kidney proximal convoluted tubule epithelial cell,0.039521392
Mmp13,-0.039518836,0.072169196,Kidney_kidney proximal convoluted tubule epithelial cell,0.039518836
Icam1,-0.039501781,0.072292335,Kidney_kidney proximal convoluted tubule epithelial cell,0.039501781
Ift46,-0.039497923,0.072320216,Kidney_kidney proximal convoluted tubule epithelial cell,0.039497923
Fam168a,0.039483678,0.072423234,Kidney_kidney proximal convoluted tubule epithelial cell,0.039483678
Gm6377,0.039482912,0.072428773,Kidney_kidney proximal convoluted tubule epithelial cell,0.039482912
Entpd2,-0.039473545,0.072496586,Kidney_kidney proximal convoluted tubule epithelial cell,0.039473545
Rwdd2a,0.039456621,0.072619226,Kidney_kidney proximal convoluted tubule epithelial cell,0.039456621
2610015P09Rik,0.039441965,0.07272558,Kidney_kidney proximal convoluted tubule epithelial cell,0.039441965
Meis2,0.039438494,0.072750783,Kidney_kidney proximal convoluted tubule epithelial cell,0.039438494
L1cam,0.039435687,0.072771168,Kidney_kidney proximal convoluted tubule epithelial cell,0.039435687
Klrk1,-0.03943468,0.072778489,Kidney_kidney proximal convoluted tubule epithelial cell,0.03943468
Slc25a23,-0.039431554,0.072801199,Kidney_kidney proximal convoluted tubule epithelial cell,0.039431554
Gm8994,-0.039430889,0.072806035,Kidney_kidney proximal convoluted tubule epithelial cell,0.039430889
Plekha6,0.039420433,0.072882046,Kidney_kidney proximal convoluted tubule epithelial cell,0.039420433
1810012P15Rik,0.039412087,0.072942777,Kidney_kidney proximal convoluted tubule epithelial cell,0.039412087
4921513D23Rik,0.039408021,0.072972375,Kidney_kidney proximal convoluted tubule epithelial cell,0.039408021
Agap3,-0.039407706,0.072974667,Kidney_kidney proximal convoluted tubule epithelial cell,0.039407706
1110034B05Rik,0.03940394,0.073002089,Kidney_kidney proximal convoluted tubule epithelial cell,0.03940394
Tnc,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Gngt1,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
4930509E16Rik,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Gm19461,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Ppp1r36,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Cyp2d13,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
4930528F23Rik,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Adra2c,0.039402163,0.073015033,Kidney_kidney proximal convoluted tubule epithelial cell,0.039402163
Ears2,-0.0394009,0.073024236,Kidney_kidney proximal convoluted tubule epithelial cell,0.0394009
Mrpl27,-0.0393971,0.073051923,Kidney_kidney proximal convoluted tubule epithelial cell,0.0393971
Asph,0.039379926,0.073177162,Kidney_kidney proximal convoluted tubule epithelial cell,0.039379926
Scoc,0.039377782,0.073192808,Kidney_kidney proximal convoluted tubule epithelial cell,0.039377782
Shf,-0.03937615,0.073204722,Kidney_kidney proximal convoluted tubule epithelial cell,0.03937615
Gm20300,0.039367259,0.073269647,Kidney_kidney proximal convoluted tubule epithelial cell,0.039367259
Cd163,0.039366532,0.073274958,Kidney_kidney proximal convoluted tubule epithelial cell,0.039366532
Leng9,-0.039359545,0.073326011,Kidney_kidney proximal convoluted tubule epithelial cell,0.039359545
Svopl,0.039342807,0.073448443,Kidney_kidney proximal convoluted tubule epithelial cell,0.039342807
Pcgf5,0.039340631,0.073464372,Kidney_kidney proximal convoluted tubule epithelial cell,0.039340631
Hnrnpl,0.039318405,0.073627235,Kidney_kidney proximal convoluted tubule epithelial cell,0.039318405
Znfx1,0.039312886,0.073667722,Kidney_kidney proximal convoluted tubule epithelial cell,0.039312886
Il2rb,0.039307618,0.073706384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039307618
Gm10549,0.039307618,0.073706384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039307618
Cxcr6,0.039307618,0.073706384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039307618
Tceal5,0.039307618,0.073706384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039307618
AI427809,0.039307618,0.073706384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039307618
Mgam,-0.039302611,0.073743143,Kidney_kidney proximal convoluted tubule epithelial cell,0.039302611
Pecr,0.039302347,0.073745082,Kidney_kidney proximal convoluted tubule epithelial cell,0.039302347
Rnf31,-0.039298085,0.073776384,Kidney_kidney proximal convoluted tubule epithelial cell,0.039298085
Prok1,-0.039296124,0.073790794,Kidney_kidney proximal convoluted tubule epithelial cell,0.039296124
Nfkb1,0.039295442,0.073795804,Kidney_kidney proximal convoluted tubule epithelial cell,0.039295442
Unkl,0.039290225,0.073834148,Kidney_kidney proximal convoluted tubule epithelial cell,0.039290225
Baat1,-0.039275911,0.073939426,Kidney_kidney proximal convoluted tubule epithelial cell,0.039275911
Tra2a,0.039268153,0.07399654,Kidney_kidney proximal convoluted tubule epithelial cell,0.039268153
Ctdnep1,-0.039255997,0.074086107,Kidney_kidney proximal convoluted tubule epithelial cell,0.039255997
Nip7,0.039245002,0.074167188,Kidney_kidney proximal convoluted tubule epithelial cell,0.039245002
Gbe1,-0.039244281,0.074172512,Kidney_kidney proximal convoluted tubule epithelial cell,0.039244281
Atp1b2,-0.039232819,0.074257118,Kidney_kidney proximal convoluted tubule epithelial cell,0.039232819
Sult1b1,0.03923193,0.074263688,Kidney_kidney proximal convoluted tubule epithelial cell,0.03923193
Upf3a,-0.039231859,0.074264208,Kidney_kidney proximal convoluted tubule epithelial cell,0.039231859
Get4,-0.039217778,0.07436827,Kidney_kidney proximal convoluted tubule epithelial cell,0.039217778
Cgn,-0.039195589,0.074532492,Kidney_kidney proximal convoluted tubule epithelial cell,0.039195589
Usp38,-0.039190683,0.074568842,Kidney_kidney proximal convoluted tubule epithelial cell,0.039190683
Chic2,0.03918728,0.074594059,Kidney_kidney proximal convoluted tubule epithelial cell,0.03918728
Ptgfrn,-0.039187252,0.07459427,Kidney_kidney proximal convoluted tubule epithelial cell,0.039187252
Mdh1,-0.039177403,0.074667304,Kidney_kidney proximal convoluted tubule epithelial cell,0.039177403
Ptbp1,0.039165719,0.074754026,Kidney_kidney proximal convoluted tubule epithelial cell,0.039165719
Akr1b8,-0.039159723,0.074798562,Kidney_kidney proximal convoluted tubule epithelial cell,0.039159723
Enpp6,-0.03915936,0.074801257,Kidney_kidney proximal convoluted tubule epithelial cell,0.03915936
Ell2,0.03915848,0.074807794,Kidney_kidney proximal convoluted tubule epithelial cell,0.03915848
Ralgapa1,0.039147227,0.074891443,Kidney_kidney proximal convoluted tubule epithelial cell,0.039147227
Fbxl14,-0.039126725,0.07504404,Kidney_kidney proximal convoluted tubule epithelial cell,0.039126725
Lck,0.039118992,0.075101662,Kidney_kidney proximal convoluted tubule epithelial cell,0.039118992
Usp11,-0.039105761,0.075200336,Kidney_kidney proximal convoluted tubule epithelial cell,0.039105761
Gm9958,-0.039099744,0.075245247,Kidney_kidney proximal convoluted tubule epithelial cell,0.039099744
Cog7,0.039094427,0.075284948,Kidney_kidney proximal convoluted tubule epithelial cell,0.039094427
0610009D07Rik,0.039078002,0.0754077,Kidney_kidney proximal convoluted tubule epithelial cell,0.039078002
Fam173b,0.039060246,0.07554059,Kidney_kidney proximal convoluted tubule epithelial cell,0.039060246
Rasl11a,-0.039044409,0.075659274,Kidney_kidney proximal convoluted tubule epithelial cell,0.039044409
Gpr141,0.039044398,0.075659356,Kidney_kidney proximal convoluted tubule epithelial cell,0.039044398
Mrpl9,-0.039032816,0.075746248,Kidney_kidney proximal convoluted tubule epithelial cell,0.039032816
Zfp707,-0.039030197,0.075765912,Kidney_kidney proximal convoluted tubule epithelial cell,0.039030197
Stx2,-0.03902908,0.075774298,Kidney_kidney proximal convoluted tubule epithelial cell,0.03902908
Ipo5,-0.03901287,0.075896081,Kidney_kidney proximal convoluted tubule epithelial cell,0.03901287
Ms4a4b,0.039010094,0.075916952,Kidney_kidney proximal convoluted tubule epithelial cell,0.039010094
Ddx54,-0.039005373,0.075952464,Kidney_kidney proximal convoluted tubule epithelial cell,0.039005373
Eif3k,0.038998962,0.076000706,Kidney_kidney proximal convoluted tubule epithelial cell,0.038998962
C030048B08Rik,0.038991281,0.076058534,Kidney_kidney proximal convoluted tubule epithelial cell,0.038991281
Kif20a,-0.038986718,0.076092903,Kidney_kidney proximal convoluted tubule epithelial cell,0.038986718
Tbc1d8,-0.0389787,0.076153332,Kidney_kidney proximal convoluted tubule epithelial cell,0.0389787
Aldh1a2,-0.038978685,0.076153443,Kidney_kidney proximal convoluted tubule epithelial cell,0.038978685
Ndufs6,-0.038978467,0.076155085,Kidney_kidney proximal convoluted tubule epithelial cell,0.038978467
Tmem161b,0.038949715,0.076372101,Kidney_kidney proximal convoluted tubule epithelial cell,0.038949715
Slc29a1,-0.0389407,0.076440244,Kidney_kidney proximal convoluted tubule epithelial cell,0.0389407
Pigu,-0.038925207,0.076557475,Kidney_kidney proximal convoluted tubule epithelial cell,0.038925207
Pppde2,-0.038919806,0.076598379,Kidney_kidney proximal convoluted tubule epithelial cell,0.038919806
0610011L14Rik,0.038917006,0.076619588,Kidney_kidney proximal convoluted tubule epithelial cell,0.038917006
Sec31a,0.03891491,0.076635468,Kidney_kidney proximal convoluted tubule epithelial cell,0.03891491
Cgrrf1,-0.038907536,0.076691368,Kidney_kidney proximal convoluted tubule epithelial cell,0.038907536
2010012O05Rik,-0.038906831,0.076696715,Kidney_kidney proximal convoluted tubule epithelial cell,0.038906831
Pgpep1,0.038896386,0.076775942,Kidney_kidney proximal convoluted tubule epithelial cell,0.038896386
Rsl24d1,0.03886848,0.076987963,Kidney_kidney proximal convoluted tubule epithelial cell,0.03886848
Polr3gl,0.038856711,0.077077518,Kidney_kidney proximal convoluted tubule epithelial cell,0.038856711
Fscn1,-0.038844932,0.07716724,Kidney_kidney proximal convoluted tubule epithelial cell,0.038844932
Fermt3,0.038831635,0.077268623,Kidney_kidney proximal convoluted tubule epithelial cell,0.038831635
Srrd,-0.038830929,0.077274012,Kidney_kidney proximal convoluted tubule epithelial cell,0.038830929
D030016E14Rik,-0.038827324,0.077301521,Kidney_kidney proximal convoluted tubule epithelial cell,0.038827324
Casz1,0.038820436,0.077354094,Kidney_kidney proximal convoluted tubule epithelial cell,0.038820436
4930534B04Rik,0.038815479,0.077391953,Kidney_kidney proximal convoluted tubule epithelial cell,0.038815479
Slc25a24,0.03879801,0.077525483,Kidney_kidney proximal convoluted tubule epithelial cell,0.03879801
Dhdh,0.038781135,0.077654656,Kidney_kidney proximal convoluted tubule epithelial cell,0.038781135
Fbxw5,-0.038778526,0.077674638,Kidney_kidney proximal convoluted tubule epithelial cell,0.038778526
Gm7609,0.038777518,0.077682365,Kidney_kidney proximal convoluted tubule epithelial cell,0.038777518
Pcgf1,0.038770473,0.07773636,Kidney_kidney proximal convoluted tubule epithelial cell,0.038770473
Cbwd1,0.038763628,0.077788846,Kidney_kidney proximal convoluted tubule epithelial cell,0.038763628
Il11ra1,-0.03874882,0.077902501,Kidney_kidney proximal convoluted tubule epithelial cell,0.03874882
Camk2d,0.038738886,0.077978815,Kidney_kidney proximal convoluted tubule epithelial cell,0.038738886
Rassf2,0.038733839,0.078017616,Kidney_kidney proximal convoluted tubule epithelial cell,0.038733839
Srfbp1,0.038730931,0.078039978,Kidney_kidney proximal convoluted tubule epithelial cell,0.038730931
Ints3,-0.038728523,0.0780585,Kidney_kidney proximal convoluted tubule epithelial cell,0.038728523
Pdk4,-0.038720252,0.078122138,Kidney_kidney proximal convoluted tubule epithelial cell,0.038720252
Dnajc5,0.038713291,0.078175735,Kidney_kidney proximal convoluted tubule epithelial cell,0.038713291
Gpld1,0.038708501,0.07821263,Kidney_kidney proximal convoluted tubule epithelial cell,0.038708501
Rap1gap,0.038706865,0.078225232,Kidney_kidney proximal convoluted tubule epithelial cell,0.038706865
Midn,0.038705682,0.078234355,Kidney_kidney proximal convoluted tubule epithelial cell,0.038705682
1110008P14Rik,-0.038701406,0.078267313,Kidney_kidney proximal convoluted tubule epithelial cell,0.038701406
Rfesd,0.038691453,0.078344063,Kidney_kidney proximal convoluted tubule epithelial cell,0.038691453
Tmem222,0.038673918,0.078479442,Kidney_kidney proximal convoluted tubule epithelial cell,0.038673918
Auts2,-0.038656718,0.078612419,Kidney_kidney proximal convoluted tubule epithelial cell,0.038656718
Tmem221,-0.038650447,0.078660945,Kidney_kidney proximal convoluted tubule epithelial cell,0.038650447
Dbil5,-0.038642436,0.078722971,Kidney_kidney proximal convoluted tubule epithelial cell,0.038642436
Gm889,-0.038638233,0.078755528,Kidney_kidney proximal convoluted tubule epithelial cell,0.038638233
Armc6,0.038620875,0.078890113,Kidney_kidney proximal convoluted tubule epithelial cell,0.038620875
Bard1,-0.038610274,0.078972399,Kidney_kidney proximal convoluted tubule epithelial cell,0.038610274
Gnrh1,0.038607114,0.078996938,Kidney_kidney proximal convoluted tubule epithelial cell,0.038607114
Foxc2,-0.038603757,0.079023015,Kidney_kidney proximal convoluted tubule epithelial cell,0.038603757
Nup35,0.038586263,0.079159026,Kidney_kidney proximal convoluted tubule epithelial cell,0.038586263
Rbbp9,-0.038586148,0.079159921,Kidney_kidney proximal convoluted tubule epithelial cell,0.038586148
Med12,-0.038581719,0.079194386,Kidney_kidney proximal convoluted tubule epithelial cell,0.038581719
Gt(ROSA)26Sor,0.038579422,0.079212261,Kidney_kidney proximal convoluted tubule epithelial cell,0.038579422
Fam86,-0.038571997,0.079270082,Kidney_kidney proximal convoluted tubule epithelial cell,0.038571997
Ntrk2,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
Krt6a,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
H2-T3,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
Aldoart1,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
Ascl3,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
Mrvi1,-0.03856706,0.079308545,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856706
Ccnb1,-0.03856109,0.079355073,Kidney_kidney proximal convoluted tubule epithelial cell,0.03856109
1500016L03Rik,0.038543957,0.079488727,Kidney_kidney proximal convoluted tubule epithelial cell,0.038543957
Pacrgl,0.038539219,0.079525721,Kidney_kidney proximal convoluted tubule epithelial cell,0.038539219
Mina,0.038530817,0.079591359,Kidney_kidney proximal convoluted tubule epithelial cell,0.038530817
Smap1,0.038513418,0.079727422,Kidney_kidney proximal convoluted tubule epithelial cell,0.038513418
Lats2,0.038496851,0.079857155,Kidney_kidney proximal convoluted tubule epithelial cell,0.038496851
Pkm2,-0.038494231,0.079877685,Kidney_kidney proximal convoluted tubule epithelial cell,0.038494231
Rabgap1,0.038491889,0.079896041,Kidney_kidney proximal convoluted tubule epithelial cell,0.038491889
Wfs1,-0.038477998,0.080004994,Kidney_kidney proximal convoluted tubule epithelial cell,0.038477998
Mettl6,0.038474143,0.080035245,Kidney_kidney proximal convoluted tubule epithelial cell,0.038474143
Proca1,-0.038469518,0.080071565,Kidney_kidney proximal convoluted tubule epithelial cell,0.038469518
Bmp6,0.03845066,0.080219762,Kidney_kidney proximal convoluted tubule epithelial cell,0.03845066
Trp53bp1,-0.038440189,0.080302146,Kidney_kidney proximal convoluted tubule epithelial cell,0.038440189
Epb4.1l5,0.038437296,0.080324924,Kidney_kidney proximal convoluted tubule epithelial cell,0.038437296
Prpf19,-0.038432892,0.080359602,Kidney_kidney proximal convoluted tubule epithelial cell,0.038432892
Tspyl5,0.038415712,0.080495005,Kidney_kidney proximal convoluted tubule epithelial cell,0.038415712
Pxmp3,-0.038383914,0.0807461,Kidney_kidney proximal convoluted tubule epithelial cell,0.038383914
Mrpl30,-0.038382392,0.080758134,Kidney_kidney proximal convoluted tubule epithelial cell,0.038382392
Wt1,-0.038375517,0.080812508,Kidney_kidney proximal convoluted tubule epithelial cell,0.038375517
Mki67,-0.038373358,0.080829595,Kidney_kidney proximal convoluted tubule epithelial cell,0.038373358
Havcr2,0.038367499,0.080875968,Kidney_kidney proximal convoluted tubule epithelial cell,0.038367499
Cd200,-0.038357985,0.080951321,Kidney_kidney proximal convoluted tubule epithelial cell,0.038357985
Etfdh,-0.038348874,0.08102353,Kidney_kidney proximal convoluted tubule epithelial cell,0.038348874
1700008J07Rik,0.038343991,0.081062249,Kidney_kidney proximal convoluted tubule epithelial cell,0.038343991
Esam,-0.038336527,0.081121475,Kidney_kidney proximal convoluted tubule epithelial cell,0.038336527
Arhgef9,-0.038324983,0.081213129,Kidney_kidney proximal convoluted tubule epithelial cell,0.038324983
Fam174b,-0.038300305,0.081409353,Kidney_kidney proximal convoluted tubule epithelial cell,0.038300305
Map3k5,0.038287804,0.081508907,Kidney_kidney proximal convoluted tubule epithelial cell,0.038287804
Anks6,-0.038282606,0.081550328,Kidney_kidney proximal convoluted tubule epithelial cell,0.038282606
Pdgfb,0.038279128,0.08157805,Kidney_kidney proximal convoluted tubule epithelial cell,0.038279128
Atmin,-0.038253676,0.081781176,Kidney_kidney proximal convoluted tubule epithelial cell,0.038253676
Phc2,-0.038242258,0.081872428,Kidney_kidney proximal convoluted tubule epithelial cell,0.038242258
Rpl27a,0.03823995,0.081890888,Kidney_kidney proximal convoluted tubule epithelial cell,0.03823995
Actr1a,-0.038234252,0.081936466,Kidney_kidney proximal convoluted tubule epithelial cell,0.038234252
Poldip3,0.038230801,0.081964078,Kidney_kidney proximal convoluted tubule epithelial cell,0.038230801
Tctex1d2,0.038223919,0.082019177,Kidney_kidney proximal convoluted tubule epithelial cell,0.038223919
Toe1,-0.038203581,0.082182162,Kidney_kidney proximal convoluted tubule epithelial cell,0.038203581
Fkbp1b,0.038198691,0.082221392,Kidney_kidney proximal convoluted tubule epithelial cell,0.038198691
Tmem192,0.038196805,0.082236519,Kidney_kidney proximal convoluted tubule epithelial cell,0.038196805
Wnk2,-0.038183678,0.082341915,Kidney_kidney proximal convoluted tubule epithelial cell,0.038183678
Smarce1,-0.038180632,0.082366385,Kidney_kidney proximal convoluted tubule epithelial cell,0.038180632
Cacna1d,-0.038172984,0.082427856,Kidney_kidney proximal convoluted tubule epithelial cell,0.038172984
Rai2,0.038158717,0.082542627,Kidney_kidney proximal convoluted tubule epithelial cell,0.038158717
Ndufb2,-0.038149865,0.082613898,Kidney_kidney proximal convoluted tubule epithelial cell,0.038149865
Tmem205,-0.038143847,0.082662387,Kidney_kidney proximal convoluted tubule epithelial cell,0.038143847
Gtl3,-0.038143683,0.082663708,Kidney_kidney proximal convoluted tubule epithelial cell,0.038143683
Chkb,0.038130182,0.08277256,Kidney_kidney proximal convoluted tubule epithelial cell,0.038130182
Ccl4,0.03812694,0.082798718,Kidney_kidney proximal convoluted tubule epithelial cell,0.03812694
Ttc1,0.038115288,0.082892779,Kidney_kidney proximal convoluted tubule epithelial cell,0.038115288
Tmem57,-0.03811138,0.082924349,Kidney_kidney proximal convoluted tubule epithelial cell,0.03811138
3110099E03Rik,-0.03810936,0.082940674,Kidney_kidney proximal convoluted tubule epithelial cell,0.03810936
Pot1a,0.038099663,0.083019056,Kidney_kidney proximal convoluted tubule epithelial cell,0.038099663
Sertad4,0.038086777,0.083123312,Kidney_kidney proximal convoluted tubule epithelial cell,0.038086777
Ccl11,0.038086777,0.083123312,Kidney_kidney proximal convoluted tubule epithelial cell,0.038086777
Hist2h4,0.038086777,0.083123312,Kidney_kidney proximal convoluted tubule epithelial cell,0.038086777
Gda,-0.038084601,0.083140927,Kidney_kidney proximal convoluted tubule epithelial cell,0.038084601
Maff,-0.038082078,0.083161354,Kidney_kidney proximal convoluted tubule epithelial cell,0.038082078
Irx1,-0.038076795,0.083204147,Kidney_kidney proximal convoluted tubule epithelial cell,0.038076795
Hyal1,0.038071706,0.083245382,Kidney_kidney proximal convoluted tubule epithelial cell,0.038071706
Psme4,-0.038061132,0.083331115,Kidney_kidney proximal convoluted tubule epithelial cell,0.038061132
Ltbp1,-0.038031013,0.083575702,Kidney_kidney proximal convoluted tubule epithelial cell,0.038031013
Prkd3,0.038019172,0.083672019,Kidney_kidney proximal convoluted tubule epithelial cell,0.038019172
Elf2,0.038001762,0.083813792,Kidney_kidney proximal convoluted tubule epithelial cell,0.038001762
Parp6,-0.037990985,0.083901657,Kidney_kidney proximal convoluted tubule epithelial cell,0.037990985
Arhgap39,-0.03797883,0.084000835,Kidney_kidney proximal convoluted tubule epithelial cell,0.03797883
Dhx38,-0.037975336,0.084029366,Kidney_kidney proximal convoluted tubule epithelial cell,0.037975336
Rock2,0.037974943,0.084032576,Kidney_kidney proximal convoluted tubule epithelial cell,0.037974943
Rce1,-0.037963036,0.084129858,Kidney_kidney proximal convoluted tubule epithelial cell,0.037963036
Gabpa,0.037940645,0.084313042,Kidney_kidney proximal convoluted tubule epithelial cell,0.037940645
Txndc17,0.037932097,0.084383059,Kidney_kidney proximal convoluted tubule epithelial cell,0.037932097
Cldn2,-0.037925669,0.084435745,Kidney_kidney proximal convoluted tubule epithelial cell,0.037925669
Cdc42ep4,0.037910507,0.084560111,Kidney_kidney proximal convoluted tubule epithelial cell,0.037910507
Nrbf2,0.037907664,0.084583447,Kidney_kidney proximal convoluted tubule epithelial cell,0.037907664
Smcr8,0.037901253,0.084636092,Kidney_kidney proximal convoluted tubule epithelial cell,0.037901253
Nmral1,0.03789843,0.084659283,Kidney_kidney proximal convoluted tubule epithelial cell,0.03789843
